"ID","Nickname","AvatarName","Category","Comment","Author","AvatarURL","SourceURL","EntryType","DisplaySerial","BoothURL"
"0001","オリジンAkyo","Akyo origin","チョコミント類","すべてのはじまり","ugai","https://vrchat.com/home/avatar/avtr_471f82ba-0c0b-4fe5-9f9c-3c7d88ab1921","https://vrchat.com/home/avatar/avtr_471f82ba-0c0b-4fe5-9f9c-3c7d88ab1921","avatar","",""
"0002","チョコミントAkyo","Akyo alt","チョコミント類,Booth,Booth/アバター","Quest対応〇","ugai","https://vrchat.com/home/avatar/avtr_8df233a7-c8fa-4188-81d8-a0b40274e003","https://vrchat.com/home/avatar/avtr_8df233a7-c8fa-4188-81d8-a0b40274e003","avatar","","https://booth.pm/ja/items/1738151"
"0003","赤チョコミントAkyo","Red basic Akyo","チョコミント類","チョコミントAkyoの色違い","Holimond.jp","https://vrchat.com/home/avatar/avtr_4906f0f8-9fcd-4602-8e10-98dd0dda9bab","https://vrchat.com/home/avatar/avtr_4906f0f8-9fcd-4602-8e10-98dd0dda9bab","avatar","",""
"0004","緑チョコミントAkyo","Green basic Akyo","チョコミント類","チョコミントAkyoの色違い","Holimond.jp","https://vrchat.com/home/avatar/avtr_610d4cb5-fcdc-45cb-a375-ff4b9bc93a81","https://vrchat.com/home/avatar/avtr_610d4cb5-fcdc-45cb-a375-ff4b9bc93a81","avatar","",""
"0005","青チョコミントAkyo","Blue basic Akyo","チョコミント類","チョコミントAkyoの色違い","Holimond.jp","https://vrchat.com/home/avatar/avtr_e62d5dca-495b-4601-a0fa-b2be5f25595b","https://vrchat.com/home/avatar/avtr_e62d5dca-495b-4601-a0fa-b2be5f25595b","avatar","",""
"0006","黄チョコミントAkyo","Yellow basic Akyo","チョコミント類","チョコミントAkyoの色違い","Holimond.jp","https://vrchat.com/home/avatar/avtr_fcabb931-01fc-4448-99fd-7dfba9ea3419","https://vrchat.com/home/avatar/avtr_fcabb931-01fc-4448-99fd-7dfba9ea3419","avatar","",""
"0007","黒チョコミントAkyo","Black basic Akyo","チョコミント類","チョコミントAkyoの色違い","Holimond.jp","https://vrchat.com/home/avatar/avtr_8cd731b4-43b3-4241-a609-ce9dfcfed45d","https://vrchat.com/home/avatar/avtr_8cd731b4-43b3-4241-a609-ce9dfcfed45d","avatar","",""
"0008","白チョコミントAkyo","White basic Akyo","チョコミント類","チョコミントAkyoの色違い","Holimond.jp","https://vrchat.com/home/avatar/avtr_0346605b-98c9-4f0e-8b4a-656bb02a51b0","https://vrchat.com/home/avatar/avtr_0346605b-98c9-4f0e-8b4a-656bb02a51b0","avatar","",""
"0009","灰チョコミントAkyo","Gray basic Akyo","チョコミント類","チョコミントAkyoの色違い","Holimond.jp","https://vrchat.com/home/avatar/avtr_42c02723-21b9-419a-9562-4013de092636","https://vrchat.com/home/avatar/avtr_42c02723-21b9-419a-9562-4013de092636","avatar","",""
"0010","ミニチョコミントAkyo","ミニミニAkyoAkyo","チョコミント類","小さくなったチョコミントAkyo","Holimond.jp","https://vrchat.com/home/avatar/avtr_4af80dc9-24b3-4d63-a819-d33debac5055","https://vrchat.com/home/avatar/avtr_4af80dc9-24b3-4d63-a819-d33debac5055","avatar","",""
"0011","スーパー汎用Akyo","スーパー汎用Akyo","チョコミント類,ギミック・特殊","デフォルトAkyo普及への思いから生まれた便利機能もりもりのAkyoで、表情、ペン、飛行、睡眠、おんぶ等多彩な機能が使用可能","nekononomicon","https://vrchat.com/home/avatar/avtr_e861e3c4-5227-4b65-8d1a-813d9f6fcffe","https://vrchat.com/home/avatar/avtr_e861e3c4-5227-4b65-8d1a-813d9f6fcffe","avatar","",""
"0012","スーパースタッフAkyo","スーパースタッフAkyo","チョコミント類,ギミック・特殊","Akyoイベントスタッフ用のAkyoで、セキュリティ上スタッフ機能は通常ロックされている。","nekononomicon","https://vrchat.com/home/avatar/avtr_83cb1a9e-9997-4f97-b737-83be2daa62c5","https://vrchat.com/home/avatar/avtr_83cb1a9e-9997-4f97-b737-83be2daa62c5","avatar","",""
"0013","スーパーワープAkyo","スーパーワープAkyo","チョコミント類,ギミック・特殊","ワープを覚えたAkyo。Questの場合はPCユーザーにおんぶしてもらうとワープできる","nekononomicon","https://vrchat.com/home/avatar/avtr_0f22cd8e-2cb8-408c-8308-8d5fa2d11dcb","https://vrchat.com/home/avatar/avtr_0f22cd8e-2cb8-408c-8308-8d5fa2d11dcb","avatar","",""
"0014","スーパーフライング運送Akyo","スーパーフライング運送Akyo","チョコミント類,ギミック・特殊","フライング運送を覚えたAkyo。箱のふたは開け閉めできる。スーパー運送Akyoもいるとのこと","nekononomicon","https://vrchat.com/home/avatar/avtr_a4a98039-e32b-4915-8663-a1d73c17f3fa","https://vrchat.com/home/avatar/avtr_a4a98039-e32b-4915-8663-a1d73c17f3fa","avatar","",""
"0015","ランAkyo","Akyo Run","チョコミント類","","ugai","https://vrchat.com/home/avatar/avtr_3b1ca729-b513-4fb6-9beb-127763696f53","https://vrchat.com/home/avatar/avtr_3b1ca729-b513-4fb6-9beb-127763696f53","avatar","",""
"0016","バルブAkyo","Akyo Valve","チョコミント類","","ugai","https://vrchat.com/home/avatar/avtr_37f03e0b-fa7e-4edc-8c15-062407d6998c","https://vrchat.com/home/avatar/avtr_37f03e0b-fa7e-4edc-8c15-062407d6998c","avatar","",""
"0017","N/A","Akyo","チョコミント類,ギミック・特殊","謎のAkyo","ugai","https://vrchat.com/home/avatar/avtr_19cb8afc-cda5-416f-a590-726a33f634b4","https://vrchat.com/home/avatar/avtr_19cb8afc-cda5-416f-a590-726a33f634b4","avatar","",""
"0018","ヒューマノイドAkyo","Humanoid Akyo v1․71 Multi Clothes","動物,動物/人間・人類,Booth,Booth/アバター","","ugai","https://vrchat.com/home/avatar/avtr_4ddbe005-72e1-478d-848a-25bf5e4972c0","https://vrchat.com/home/avatar/avtr_4ddbe005-72e1-478d-848a-25bf5e4972c0","avatar","","https://booth.pm/ja/items/1738171"
"0019","キツネツキ式狐Akyo","KTNTK_Akyo","動物,動物/きつね,Booth,Booth/アバター","","kitsune_tsuki","https://vrchat.com/home/avatar/avtr_84179c75-7975-4f15-955b-c1f94a211bbe","https://vrchat.com/home/avatar/avtr_84179c75-7975-4f15-955b-c1f94a211bbe","avatar","","https://booth.pm/ja/items/5615337"
"0020","キツネツキ式幽霊狐Akyo","sAKYOn_Ghost","動物,動物/きつね,架空の存在,架空の存在/妖怪・おばけ","","kitsune_tsuki","https://vrchat.com/home/avatar/avtr_f9365ef3-351c-4abf-b4b8-5e09e49b13c4","https://vrchat.com/home/avatar/avtr_f9365ef3-351c-4abf-b4b8-5e09e49b13c4","avatar","",""
"0021","キツネツキ式溶け狐Akyo","Melt_sakyon","動物,動物/きつね","","kitsune_tsuki","https://vrchat.com/home/avatar/avtr_32eff565-39cc-46bb-883a-5b25473d095c","https://vrchat.com/home/avatar/avtr_32eff565-39cc-46bb-883a-5b25473d095c","avatar","",""
"0022","キツネツキ式足長狐Akyo","sAKYOn_？","動物,動物/きつね","","kitsune_tsuki","https://vrchat.com/home/avatar/avtr_29c2973e-8181-4fa7-8e12-f0578d2727ea","https://vrchat.com/home/avatar/avtr_29c2973e-8181-4fa7-8e12-f0578d2727ea","avatar","",""
"0023","ウーガーイーツAkyo","Uuga Eats","チョコミント類,身分・役割,身分・役割/配達員","","bbbbb_himiko","https://vrchat.com/home/avatar/avtr_9f160901-c9cf-4329-b021-e29b7dbffd0e","https://vrchat.com/home/avatar/avtr_9f160901-c9cf-4329-b021-e29b7dbffd0e","avatar","",""
"0024","アキョンゲリヲンAkyo","Akyongelion Type-08","乗り物,武器・機械","","bbbbb_himiko","https://vrchat.com/home/avatar/avtr_fd9889b7-dcfd-4056-8e95-606d4a14ec70","https://vrchat.com/home/avatar/avtr_fd9889b7-dcfd-4056-8e95-606d4a14ec70","avatar","",""
"0025","アキョスAkyo","Akyosu","パロディ,パロディ/エヴァ","","bbbbb_himiko","https://vrchat.com/home/avatar/avtr_37ccdd47-0bf3-4ea5-b279-4fcff01f3c51","https://vrchat.com/home/avatar/avtr_37ccdd47-0bf3-4ea5-b279-4fcff01f3c51","avatar","",""
"0026","冬虫Akyo","Toutyuakyo_冬虫亜京","動物,動物/虫,季節・行事","","bbbbb_himiko","https://vrchat.com/home/avatar/avtr_c1bded47-4a5f-4f89-8ec9-142f8a7db49a","https://vrchat.com/home/avatar/avtr_c1bded47-4a5f-4f89-8ec9-142f8a7db49a","avatar","",""
"0027","スプーンフォークAkyo","spoon_fork_akyo","道具・文房具・生活用品","","bbbbb_himiko","https://vrchat.com/home/avatar/avtr_800ba63a-2ac7-4f4c-80da-16a2880e7972","https://vrchat.com/home/avatar/avtr_800ba63a-2ac7-4f4c-80da-16a2880e7972","avatar","",""
"0028","ロボットAkyo（サンプル）","AkyoRobotSample","武器・機械,電子,Booth,Booth/アバター","","n777","https://vrchat.com/home/avatar/avtr_f639a269-adb1-4506-9209-6631ce4201c6","https://vrchat.com/home/avatar/avtr_f639a269-adb1-4506-9209-6631ce4201c6","avatar","","https://booth.pm/ja/items/5535632"
"0029","ダッフルコートAkyo","Duffel coat_Akyo","チョコミント類,ファッション,ファッション/厚着","","isamu_masashi","https://vrchat.com/home/avatar/avtr_9ec28f7b-9f5a-433a-9422-d7578368a679","https://vrchat.com/home/avatar/avtr_9ec28f7b-9f5a-433a-9422-d7578368a679","avatar","",""
"0030","ダウンベストAkyo","Downvest_Akyo","チョコミント類,ファッション,ファッション/厚着","","isamu_masashi","https://vrchat.com/home/avatar/avtr_40663914-34fa-48d8-b355-e69c2c64e294","https://vrchat.com/home/avatar/avtr_40663914-34fa-48d8-b355-e69c2c64e294","avatar","",""
"0031","レイマーチAkyo","RaymarchAkyo","チョコミント類","","NEET ENGINEER","https://vrchat.com/home/avatar/avtr_a6026732-c88e-4cc0-8d32-72d90fafe959","https://vrchat.com/home/avatar/avtr_a6026732-c88e-4cc0-8d32-72d90fafe959","avatar","",""
"0032","ルックAkyo","LookAkyo","チョコミント類,ギミック・特殊","","NEET ENGINEER","https://vrchat.com/home/avatar/avtr_0eca2798-47a4-4dc3-92b7-0ede4f254bb6","https://vrchat.com/home/avatar/avtr_0eca2798-47a4-4dc3-92b7-0ede4f254bb6","avatar","",""
"0033","神秘のAkyo","akyo_mystic","ギミック・特殊","","Bangasa","https://vrchat.com/home/avatar/avtr_b2ba6d63-146f-41e5-9dc7-f5dd335ff53a","https://vrchat.com/home/avatar/avtr_b2ba6d63-146f-41e5-9dc7-f5dd335ff53a","avatar","",""
